Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,21/08/15,Malaga,Sevilla,0,0,D,0,0,D,25,10,5,2,19,11,7,2,3,3,0,1,3.4,3.4,2.15,3.3,3.4,2.25,2.9,3.3,2.3,3.4,3.3,2.25,3.39,3.57,2.25,3.2,3.4,2.2,3.4,3.5,2.25,39,3.5,3.26,3.6,3.42,2.3,2.2,37,1.95,1.86,2.02,1.92,24,0.25,2.02,1.95,1.94,1.9
SP1,22/08/15,Ath Madrid,Las Palmas,1,0,H,1,0,H,14,8,3,1,11,16,4,4,2,0,0,0,1.2,6.5,15,1.22,6,12,1.25,5.5,10.3,1.22,6.5,15,1.23,6.78,16.86,1.22,5.5,15,1.22,6.5,19,41,1.25,1.21,6.78,6.09,19,15.65,40,1.9,1.82,2.04,1.96,26,-1.75,2.02,1.95,1.95,1.89
SP1,22/08/15,Espanol,Getafe,1,0,H,1,0,H,4,14,2,3,19,14,5,6,2,3,0,1,1.91,3.4,4.33,1.95,3.25,4,2,3.3,3.6,1.91,3.4,4.5,1.93,3.47,4.68,1.91,3.3,4.33,1.91,3.5,4.6,41,2,1.9,3.75,3.37,4.68,4.31,36,2.53,2.37,1.6,1.56,27,-0.5,1.95,1.9,2.01,1.94
SP1,22/08/15,La Coruna,Sociedad,0,0,D,0,0,D,15,9,5,2,16,10,5,4,3,2,0,0,2.5,3.2,3,2.55,3.1,2.8,2.6,3.2,2.6,2.62,3.2,2.8,2.59,3.23,3.08,2.62,3,2.9,2.55,3.3,3,41,2.75,2.52,3.4,3.14,3.1,2.93,37,2.48,2.37,1.63,1.56,26,0,1.82,1.78,2.15,2.07
SP1,22/08/15,Vallecano,Valencia,0,0,D,0,0,D,8,10,3,4,19,11,3,3,3,1,0,0,3.6,3.5,2.05,3.5,3.4,2.05,3.6,3.3,2,3.6,3.6,2,3.72,3.77,2.06,3.6,3.3,2.1,3.7,3.75,2.05,41,4,3.57,3.77,3.55,2.15,2.02,39,1.83,1.75,2.15,2.04,27,0.5,1.9,1.83,2.08,2.01
SP1,23/08/15,Ath Bilbao,Barcelona,0,1,A,0,0,D,8,10,2,4,16,11,2,4,3,3,0,0,6.5,4.33,1.5,6,4.2,1.5,5.2,4,1.57,6.5,4.33,1.53,7.06,4.53,1.52,7,3.8,1.53,6.5,4.6,1.53,41,7.4,6.6,4.8,4.33,1.57,1.49,33,1.66,1.6,2.38,2.27,27,1,2.12,2.03,1.87,1.81
SP1,23/08/15,Betis,Villarreal,1,1,D,0,1,A,22,8,6,4,11,26,7,5,3,1,0,1,2.8,3.25,2.6,2.65,3.25,2.6,2.6,3.2,2.6,2.9,3.3,2.5,2.93,3.34,2.63,2.8,3.1,2.62,3,3.25,2.5,37,3,2.81,3.35,3.22,2.7,2.55,35,2.25,2.12,1.78,1.7,26,0,2.09,2.02,1.87,1.82
SP1,23/08/15,Levante,Celta,1,2,A,0,1,A,11,15,2,6,12,17,4,6,1,3,1,0,3.6,3.3,2.15,3.25,3.2,2.2,2.9,3.3,2.3,3.6,3.3,2.15,3.84,3.4,2.15,3.4,3.1,2.25,3.75,3.4,2.15,41,3.84,3.58,3.5,3.26,2.3,2.13,37,2.43,2.31,1.66,1.59,26,0.25,2.11,2.03,1.86,1.81
SP1,23/08/15,Sp Gijon,Real Madrid,0,0,D,0,0,D,6,27,0,8,20,4,2,5,4,0,0,0,13,6.5,1.22,10,6.5,1.22,12.5,6,1.2,13,6.5,1.22,12.98,6.6,1.26,15,5,1.25,13,6.5,1.25,41,15,12.72,7,6.11,1.26,1.23,34,1.54,1.5,2.68,2.53,26,1.75,1.96,1.91,2,1.93
SP1,24/08/15,Granada,Eibar,1,3,A,0,2,A,12,10,6,4,5,23,6,5,1,6,1,0,1.91,3.3,4.5,1.95,3.1,4.33,2,3.3,3.6,1.95,3.3,4.5,1.9,3.34,5.15,1.95,3.1,4.5,1.9,3.3,5,39,2,1.88,3.5,3.23,5.15,4.64,33,2.88,2.68,1.5,1.45,25,-0.5,1.92,1.88,2.04,1.96
SP1,28/08/15,Villarreal,Espanol,3,1,H,0,1,A,14,4,4,2,10,20,2,3,1,6,0,0,1.57,3.8,6.5,1.62,3.75,6,1.6,3.7,5.4,1.53,4,7,1.6,4.09,6.69,1.53,3.8,7,1.6,4.1,6.5,36,1.63,1.56,4.1,3.84,7.5,6.5,33,2.2,2.11,1.81,1.71,24,-1,2.12,2.04,1.86,1.82
SP1,29/08/15,Barcelona,Malaga,1,0,H,0,0,D,22,4,13,1,4,21,15,2,0,3,0,0,1.1,10,26,1.13,7.75,16.5,1.15,7,15,1.12,8.5,19,1.14,10,24.1,1.14,7.5,19,1.12,10,31,36,1.15,1.11,10,8.96,51,24.11,35,1.4,1.37,3.25,3,25,-2.5,2.05,1.99,1.92,1.85
SP1,29/08/15,Celta,Vallecano,3,0,H,1,0,H,11,3,7,0,7,11,5,4,2,2,0,1,1.53,4.33,6,1.55,3.75,6.25,1.65,3.7,4.9,1.57,4.2,5.5,1.57,4.41,6.29,1.55,4,6,1.57,4.5,6,37,1.65,1.54,4.5,4.14,6.5,5.91,33,1.74,1.68,2.25,2.15,25,-1,1.99,1.92,1.96,1.91
SP1,29/08/15,Real Madrid,Betis,5,0,H,2,0,H,21,7,11,1,12,14,11,4,3,3,0,0,1.1,10,26,1.11,8.5,19.5,1.12,8,16,1.12,9,19,1.13,11.4,23,1.12,8,21,1.13,11,23,35,1.14,1.11,11.4,9.34,29.67,21.71,32,1.33,1.28,3.9,3.57,24,-2.5,2.02,1.96,1.93,1.88
SP1,29/08/15,Sociedad,Sp Gijon,0,0,D,0,0,D,12,7,1,2,10,15,6,4,4,5,0,0,1.85,3.5,4.5,1.9,3.5,4.75,1.85,3.45,4,1.85,3.4,4.33,1.88,3.47,4.99,1.91,3.2,4.5,1.85,3.6,4.8,37,1.91,1.86,3.6,3.35,4.99,4.53,33,2.45,2.3,1.65,1.59,25,-0.5,1.88,1.84,2.06,2
SP1,30/08/15,Eibar,Ath Bilbao,2,0,H,1,0,H,9,9,8,1,14,13,11,4,2,2,0,0,4,3.1,2.1,4,3.25,2.15,3.3,3.3,2.1,4,3.2,2.05,4.04,3.27,2.15,3.8,3,2.15,4,3.25,2.15,37,4.05,3.79,3.3,3.14,2.16,2.1,28,2.75,2.59,1.52,1.47,24,0.5,1.8,1.75,2.17,2.1
SP1,30/08/15,Getafe,Granada,1,2,A,0,2,A,16,9,4,4,16,15,6,6,5,3,0,0,2.05,3.2,4,2.05,3.25,3.6,2.1,3.3,3.3,2.1,3.2,4,2.1,3.3,4.14,2.05,3.1,4,2.05,3.3,4.3,36,2.1,2.04,3.3,3.18,4.3,3.87,27,2.65,2.51,1.53,1.5,25,-0.5,2.1,2.03,1.87,1.82
SP1,30/08/15,Las Palmas,Levante,0,0,D,0,0,D,16,3,2,2,14,21,3,0,2,4,0,0,1.91,3.3,4.5,1.91,3.25,4.2,2,3.3,3.6,1.95,3.3,4,1.92,3.47,4.75,1.91,3.2,4.5,1.93,3.4,4.75,36,2,1.9,3.47,3.26,4.75,4.35,27,2.5,2.42,1.6,1.53,25,-0.5,1.94,1.9,2.02,1.94
SP1,30/08/15,Sevilla,Ath Madrid,0,3,A,0,1,A,25,17,7,7,17,13,11,1,3,4,0,0,2.8,3.2,2.63,2.75,3.3,2.7,2.6,3.2,2.6,2.88,3.25,2.5,2.84,3.3,2.75,2.7,3.1,2.7,2.8,3.3,2.75,37,2.88,2.74,3.3,3.17,2.75,2.63,33,2.32,2.2,1.72,1.65,25,0,2,1.94,1.94,1.89
SP1,30/08/15,Valencia,La Coruna,1,1,D,1,1,D,12,12,5,3,13,15,5,7,2,1,1,0,1.44,4.33,8,1.44,4,7.75,1.45,4,7,1.44,4.33,7.5,1.4,4.86,10.04,1.44,4.2,7.5,1.4,4.8,9,37,1.5,1.41,4.86,4.42,10.04,8.02,35,1.88,1.81,2.06,1.97,24,-1,1.7,1.65,2.41,2.27
SP1,11/09/15,Levante,Sevilla,1,1,D,0,1,A,14,8,4,3,12,8,5,4,3,3,0,0,4.75,3.75,1.75,4.5,3.8,1.8,4,3.45,1.85,4.75,3.6,1.8,4.83,3.82,1.81,4.6,3.5,1.8,4.8,3.8,1.8,37,5,4.66,3.87,3.63,1.85,1.78,32,2.14,2.06,1.81,1.75,24,0.75,1.89,1.83,2.09,2.03
SP1,12/09/15,Ath Madrid,Barcelona,1,2,A,0,0,D,11,13,3,5,17,5,1,10,3,1,0,0,3.3,3.2,2.3,3.3,3.3,2.3,3,3.2,2.3,3.4,3.4,2.2,3.41,3.4,2.31,3.3,3.2,2.25,3.3,3.5,2.3,36,3.42,3.27,3.5,3.28,2.32,2.26,31,2.25,2.13,1.75,1.7,23,0.25,1.96,1.91,2,1.93
SP1,12/09/15,Betis,Sociedad,1,0,H,1,0,H,9,15,2,3,12,9,2,4,4,3,1,0,2.3,3.3,3.2,2.35,3.2,3,2.4,3.3,2.75,2.4,3.25,3.1,2.39,3.36,3.28,2.38,3.25,3,2.4,3.3,3.25,35,2.4,2.35,3.39,3.26,3.28,3.09,30,2.22,2.14,1.74,1.7,23,-0.25,2.06,2,1.9,1.84
SP1,12/09/15,Espanol,Real Madrid,0,6,A,0,4,A,14,15,3,8,19,10,5,6,2,2,0,0,10,5,1.33,8.75,5.25,1.34,8,5,1.33,10,5.5,1.3,9.75,5.51,1.36,8,5,1.36,9,5.5,1.36,36,11,9.45,6,5.23,1.4,1.32,28,1.55,1.49,2.75,2.55,25,1.5,1.9,1.86,2.05,1.98
SP1,12/09/15,Sp Gijon,Valencia,0,1,A,0,0,D,16,17,8,3,16,11,5,6,3,3,0,0,3.4,3.2,2.25,3.3,3.2,2.3,2.75,3.3,2.4,3.4,3.2,2.25,3.39,3.42,2.31,3.3,3.2,2.25,3.5,3.4,2.25,36,3.45,3.29,3.42,3.24,2.4,2.26,31,2.29,2.21,1.72,1.65,23,0.25,1.99,1.92,1.98,1.92
SP1,13/09/15,Ath Bilbao,Getafe,3,1,H,2,0,H,14,11,6,3,12,15,12,5,1,4,0,0,1.57,3.75,7,1.57,3.7,6.25,1.65,3.6,5.1,1.6,3.8,6.5,1.59,4.03,7.05,1.6,3.75,6,1.57,4,7,37,1.65,1.57,4.03,3.81,7.05,6.43,32,2.19,2.11,1.77,1.71,26,-1,2.06,2.01,1.88,1.83
SP1,13/09/15,Celta,Las Palmas,3,3,D,2,1,H,26,9,12,5,19,14,7,2,0,3,0,1,1.5,4.2,7,1.53,4,6,1.55,3.9,5.6,1.5,4,7,1.52,4.48,7.3,1.5,4,7,1.5,4.4,7.5,35,1.55,1.49,4.52,4.19,7.5,6.8,31,1.9,1.83,2.04,1.97,24,-1,1.86,1.82,2.08,2.02
SP1,13/09/15,Granada,Villarreal,1,3,A,0,0,D,13,8,2,5,16,21,8,6,2,4,0,0,3.5,3.1,2.25,3.4,3.2,2.3,3.2,3.2,2.2,3.5,3.2,2.25,3.63,3.36,2.24,3.4,3.1,2.25,3.6,3.3,2.25,37,3.63,3.39,3.36,3.2,2.38,2.24,28,2.45,2.34,1.64,1.58,24,0,2.53,2.41,1.64,1.58
SP1,13/09/15,Malaga,Eibar,0,0,D,0,0,D,10,7,4,0,11,13,7,3,2,4,0,0,1.75,3.5,5.25,1.8,3.4,4.5,1.8,3.5,4.2,1.75,3.6,5,1.81,3.65,5.2,1.8,3.4,4.8,1.78,3.6,5.4,37,1.81,1.76,3.7,3.52,5.5,4.94,30,2.35,2.24,1.67,1.63,24,-0.5,1.79,1.75,2.19,2.12
SP1,14/09/15,Vallecano,La Coruna,1,3,A,1,2,A,8,14,2,8,12,10,5,4,2,2,1,0,2.1,3.5,3.5,2.1,3.4,3.3,2.15,3.3,3.2,2.15,3.4,3.5,2.2,3.61,3.46,2.15,3.5,3.25,2.2,3.6,3.4,35,2.2,2.12,3.64,3.46,3.55,3.38,31,2,1.88,2,1.91,23,-0.5,2.21,2.1,1.81,1.76
SP1,18/09/15,Getafe,Malaga,1,0,H,1,0,H,10,13,4,3,18,11,4,7,5,2,0,0,2.6,3.1,2.9,2.6,3.1,2.75,2.6,3.2,2.6,2.62,3.1,3,2.71,3.15,3,2.62,2.9,3,2.63,3.2,3,40,2.71,2.6,3.2,3.06,3.12,2.94,33,2.67,2.54,1.55,1.5,25,0,1.86,1.82,2.1,2.03
SP1,19/09/15,Eibar,Ath Madrid,0,2,A,0,0,D,9,14,3,6,13,7,1,4,2,1,0,0,7,3.75,1.57,6.75,3.7,1.6,5.1,3.6,1.65,7,3.75,1.57,7.15,3.95,1.6,6.5,3.5,1.62,7.5,3.9,1.57,39,7.5,6.94,3.95,3.71,1.65,1.56,30,2.5,2.39,1.61,1.56,25,1,1.86,1.81,2.12,2.05
SP1,19/09/15,Real Madrid,Granada,1,0,H,0,0,D,20,12,10,3,9,15,10,1,1,3,0,0,1.06,15,26,1.07,13,34,1.05,11,25,1.07,15,34,1.08,16,31.5,1.08,11,34,1.08,15,31,39,1.08,1.06,17,13.7,41,30.41,30,1.22,1.2,4.8,4.34,24,-3,1.94,1.89,2.02,1.97
SP1,19/09/15,Sociedad,Espanol,2,3,A,1,1,D,10,18,3,6,15,16,7,6,2,3,1,0,2,3.4,4,2,3.1,4.1,2,3.3,3.6,2,3.4,4,2,3.46,4.35,2,3.2,4,1.95,3.5,4.4,39,2.01,1.96,3.5,3.37,4.4,4.04,33,2.35,2.26,1.68,1.63,24,-0.5,1.99,1.94,1.96,1.92
SP1,19/09/15,Valencia,Betis,0,0,D,0,0,D,22,3,5,1,17,15,7,1,4,2,0,1,1.5,4.33,6.5,1.5,4.4,6.75,1.5,4,6.1,1.53,4,6.5,1.52,4.59,7.02,1.53,4,6.5,1.5,4.5,7,37,1.53,1.49,4.74,4.27,7.02,6.67,33,1.79,1.72,2.19,2.1,24,-1,1.88,1.84,2.08,2.02
SP1,20/09/15,Barcelona,Levante,4,1,H,0,0,D,21,11,8,4,8,16,4,4,0,1,0,0,1.06,12,29,1.07,10.5,26,1.07,9.5,22,1.06,15,41,1.08,16.5,30,1.08,11,34,1.07,15,36,39,1.08,1.06,17.41,13.76,61,32.5,29,1.23,1.21,4.75,4.27,24,-3,1.98,1.89,2.1,1.97
SP1,20/09/15,La Coruna,Sp Gijon,2,3,A,2,3,A,19,4,9,4,11,16,8,3,3,3,0,0,2.05,3.1,4.2,2.05,3.3,3.6,2,3.3,3.6,2.05,3.25,4,2.05,3.39,4.21,2,3.2,4,2.05,3.4,4.1,39,2.05,2.01,3.5,3.27,4.23,3.97,29,2.5,2.39,1.6,1.55,24,-0.5,2.06,2.01,1.89,1.85
SP1,20/09/15,Las Palmas,Vallecano,0,1,A,0,1,A,8,17,2,6,13,19,3,5,3,5,0,0,1.91,3.5,4,1.9,3.5,3.9,2,3.3,3.6,1.91,3.6,4,1.9,3.9,4.19,1.91,3.5,4,1.91,3.8,4.2,39,2,1.89,3.93,3.64,4.33,3.99,35,1.89,1.8,2.11,2,24,-0.5,1.91,1.88,2.04,1.99
SP1,20/09/15,Sevilla,Celta,1,2,A,0,2,A,13,15,5,5,16,16,5,5,3,5,0,1,1.8,3.75,4.33,1.83,3.7,4.5,1.85,3.45,4,1.85,3.6,4.33,1.85,3.88,4.47,1.83,3.5,4.33,1.85,3.8,4.4,38,1.88,1.81,3.9,3.69,4.55,4.28,34,1.77,1.69,2.25,2.14,23,-0.5,1.88,1.82,2.1,2.04
SP1,20/09/15,Villarreal,Ath Bilbao,3,1,H,1,0,H,14,11,7,2,17,6,9,4,4,4,0,0,2,3.5,3.75,2,3.3,3.7,1.9,3.45,3.8,2,3.4,4,2.03,3.43,4.22,2,3.2,4,2,3.5,4.1,39,2.07,1.99,3.5,3.34,4.25,3.97,35,2.31,2.22,1.73,1.65,24,-0.5,2.05,2,1.91,1.86
SP1,22/09/15,Ath Madrid,Getafe,2,0,H,1,0,H,12,6,3,2,14,10,6,1,3,2,0,0,1.25,5.5,15,1.25,5.5,14.5,1.25,5.5,10.3,1.29,5,13,1.27,5.64,17.44,1.25,5.5,13,1.29,5.75,15,39,1.29,1.26,6,5.38,17.44,14.18,35,2.04,1.95,1.95,1.85,25,-1.5,1.96,1.9,2,1.96
SP1,22/09/15,Espanol,Valencia,1,0,H,1,0,H,17,10,5,4,22,14,7,6,5,7,0,0,3.25,3.25,2.3,3.1,3.3,2.35,2.9,3.3,2.3,3.3,3.3,2.25,3.33,3.43,2.34,3.2,3.1,2.38,3.3,3.4,2.25,39,3.4,3.21,3.43,3.26,2.4,2.29,34,2.25,2.15,1.8,1.69,23,0.25,1.94,1.9,2.01,1.96
SP1,22/09/15,Granada,Sociedad,0,3,A,0,2,A,11,8,1,5,20,18,4,3,5,4,0,0,2.4,3.1,3.2,2.45,3.1,2.95,2.4,3.2,2.85,2.4,3.1,3.2,2.47,3.25,3.25,2.45,3,3.1,2.5,3.25,3.2,39,2.51,2.44,3.25,3.11,3.25,3.1,31,2.56,2.45,1.59,1.53,24,0,1.75,1.71,2.27,2.18
SP1,23/09/15,Ath Bilbao,Real Madrid,1,2,A,0,1,A,11,22,5,6,17,10,6,8,4,3,0,0,5.25,4.2,1.62,5.5,4.1,1.6,4.8,4.1,1.6,5,4.33,1.62,5.49,4.31,1.65,6,3.75,1.6,5.25,4.33,1.65,40,6,5.29,4.33,4.06,1.67,1.62,29,1.6,1.56,2.49,2.37,26,1,1.85,1.79,2.15,2.07
SP1,23/09/15,Celta,Barcelona,4,1,H,2,0,H,18,18,5,7,19,4,5,10,2,2,0,0,6.5,4.5,1.5,6,4.2,1.55,5.2,4.2,1.55,6,4.33,1.53,6.44,4.85,1.52,6,4.5,1.5,6,4.8,1.53,40,6.5,5.96,4.85,4.42,1.55,1.51,33,1.55,1.48,2.81,2.6,26,1,2.08,2.02,1.87,1.83
SP1,23/09/15,Las Palmas,Sevilla,2,0,H,1,0,H,12,17,4,3,9,13,5,5,3,4,0,0,3.3,3.4,2.2,3.4,3.3,2.2,2.9,3.3,2.3,3.3,3.5,2.15,3.45,3.58,2.22,3.4,3.3,2.15,3.4,3.5,2.25,40,3.5,3.27,3.6,3.41,2.3,2.19,36,1.95,1.88,1.99,1.92,24,0.25,2.02,1.95,1.94,1.89
SP1,23/09/15,Levante,Eibar,2,2,D,0,1,A,12,10,2,4,13,23,4,7,2,5,0,0,2.38,3.1,3.25,2.5,3,2.95,2.4,3.2,2.85,2.5,3,3.2,2.4,3.18,3.46,2.5,2.9,3.2,2.45,3.13,3.4,40,2.5,2.4,3.2,3.06,3.5,3.2,30,2.8,2.67,1.5,1.46,25,0,1.7,1.65,2.39,2.27
SP1,23/09/15,Malaga,Villarreal,0,1,A,0,0,D,15,9,4,3,18,14,8,5,2,3,0,0,2.63,3.3,2.75,2.65,3.2,2.65,2.6,3.2,2.6,2.62,3.1,2.7,2.85,3.33,2.72,2.7,3.1,2.7,2.8,3.3,2.7,40,2.86,2.73,3.4,3.17,2.75,2.66,34,2.35,2.27,1.7,1.62,25,0,2.02,1.94,1.94,1.89
SP1,23/09/15,Vallecano,Sp Gijon,2,1,H,1,0,H,18,5,6,2,14,17,4,4,2,1,0,1,2.25,3.4,3.2,2.25,3.4,3,2.2,3.3,3.1,2.25,3.4,3.3,2.24,3.5,3.47,2.15,3.5,3.25,2.2,3.6,3.4,40,2.25,2.19,3.6,3.38,3.47,3.28,36,2.01,1.92,1.95,1.88,24,0,1.63,1.59,2.5,2.39
